Energy Normalized	Speedup	Latency	NEE	RelativeEnergy	Normalized Energy
1	3.991469	0.250534	0.248379	4.026105267	1
1.020085	3.965943	0.252147	0.253368	3.946828329	0.980309273
1.183009	3.738605	0.267479	0.293835	3.403270543	0.845300934
1.338995	3.488008	0.286697	0.332579	3.006804398	0.74682707
1.488455	3.234006	0.309214	0.369702	2.704881229	0.671835695
1.584249	2.957835	0.338085	0.393495	2.541328352	0.631212595
1.737869	2.700674	0.370278	0.431651	2.316686397	0.575416251
1.873366	2.43174	0.411228	0.465306	2.149123373	0.533797114
1.964227	2.16884	0.461076	0.487874	2.049709556	0.50910481
3.094111	1.689456	0.591907	0.768513	1.301214163	0.323194273
3.325256	1.550769	0.644841	0.825925	1.210763689	0.300728274
3.557766	1.416083	0.706173	0.883676	1.131636482	0.281074738
3.791302	1.279378	0.78163	0.941681	1.061930739	0.263761295
3.971463	1.132992	0.882619	0.98643	1.013756678	0.25179587
4.026098	1	1	1	1	0.248379
 
